Iteration,BestIndex_Iter,Fitness_Iter,SPS_Afin_Score_Iter,Interaction_Iter,CumulativeNFE,TimeSeconds_Iter
1,1,-16771.4940,-16779.0,7.5060,200,7.6399
2,1,-16774.3581,-16779.0,4.6419,400,5.4576
3,0,-16767.6989,-16779.0,11.3011,600,3.5057
4,1,-16775.7035,-16779.0,3.2965,800,6.1705
5,1,-16770.3007,-16779.0,8.6993,1000,5.2866
6,1,-16774.4750,-16779.0,4.5250,1200,7.0559
7,0,-16767.0000,-16779.0,12.0000,1400,6.7822
8,0,-16774.1063,-16779.0,4.8937,1600,6.8053
9,2,-16775.0905,-16779.0,3.9095,1800,6.0924
10,2,-16772.7503,-16779.0,6.2497,2000,3.8599
11,1,-16770.6012,-16779.0,8.3988,2200,8.5932
12,1,-16772.6766,-16779.0,6.3234,2400,7.5523
13,1,-16770.6998,-16779.0,8.3002,2600,4.8028
14,9,-16587.3938,-16592.0,4.6062,2800,7.5411
15,0,-16594.1285,-16597.0,2.8715,3000,4.9422
16,2,-16586.3733,-16592.0,5.6267,3200,3.3148
17,9,-16592.2576,-16597.0,4.7424,3400,8.2969
18,6,-16588.1599,-16591.0,2.8401,3600,7.3148
19,9,-16592.5320,-16597.0,4.4680,3800,4.8661
20,1,-16584.0440,-16591.0,6.9560,4000,4.3704
21,7,-16585.7371,-16591.0,5.2629,4200,3.7845
22,6,-16585.6976,-16592.0,6.3024,4400,6.0655
23,0,-16607.6461,-16610.0,2.3539,4600,6.2529
24,3,-16586.2240,-16592.0,5.7760,4800,8.5411
25,1,-16585.4727,-16591.0,5.5273,5000,3.3807
26,3,-16590.3235,-16597.0,6.6765,5200,6.9012
27,0,-16606.1604,-16610.0,3.8396,5400,6.7913
28,6,-16582.7495,-16591.0,8.2505,5600,6.9191
29,4,-16585.8996,-16591.0,5.1004,5800,6.8851
30,4,-16584.4870,-16592.0,7.5130,6000,7.5777
31,0,-16606.4357,-16610.0,3.5643,6200,4.1448
32,8,-16592.0849,-16597.0,4.9151,6400,8.0044
33,8,-16587.3270,-16592.0,4.6730,6600,5.4321
34,0,-16607.2654,-16610.0,2.7346,6800,8.6655
35,4,-16592.2172,-16597.0,4.7828,7000,7.0434
36,0,-16608.0667,-16610.0,1.9333,7200,4.1829
37,6,-16592.1093,-16597.0,4.8907,7400,4.7551
38,6,-16592.5949,-16597.0,4.4051,7600,5.9841
39,0,-16606.2693,-16610.0,3.7307,7800,7.1665
40,1,-16591.5706,-16597.0,5.4294,8000,4.4471
41,7,-16584.8521,-16591.0,6.1479,8200,4.5057
42,6,-16588.2347,-16592.0,3.7653,8400,5.7673
43,7,-16585.2659,-16592.0,6.7341,8600,7.8597
44,6,-16586.7190,-16592.0,5.2810,8800,3.9472
45,0,-16606.5724,-16610.0,3.4276,9000,5.5059
46,6,-16584.2247,-16592.0,7.7753,9200,3.7732
47,6,-16585.6584,-16591.0,5.3416,9400,7.7495
48,0,-16605.0627,-16610.0,4.9373,9600,7.9164
49,0,-16605.0533,-16610.0,4.9467,9800,7.9514
50,8,-16586.7402,-16592.0,5.2598,10000,6.2860
